560001,1,TY KU, TY KU /taɪkuː/ is an American alcoholic beverage company that specializes in sake and other spirits. The privately-held company was founded in 2004 and is headquartered in New York City New York. While based in New York TY KU's beverages are made in Japan through a joint venture with two sake breweries. Since 2011 TY KU's growth has extended its products into all 50 states.
560002,1,Odd Lot Entertainment, OddLot Entertainment founded in 2001 by longtime producers Gigi Pritzker and Deborah Del Prete (The Wedding Planner) is a film production and financing company based in Culver City California.OddLot produced the film version of Orson Scott Card's sci-fi novel Ender's Game. A film version of this novel had been in the works in one form or another for more than a decade by the time of its release.
560003,1,Henkel, Henkel AG & Company KGaA operates worldwide with leading brands and technologies in three business areas: Laundry & Home Care Beauty Care and Adhesive Technologies. Henkel is the name behind some of America’s favorite brands.
560004,1,GOAT Store, The GOAT Store (Games Of All Type Store) LLC is one of the largest retro gaming online stores and an Independent Video Game Publishing Label. Additionally they are one of the primary sponsors for Midwest Gaming Classic.
560005,1,RagWing Aircraft Designs, RagWing Aircraft Designs (also called the RagWing Aeroplane Company and RagWing Aviation) was an American aircraft design and manufacturing company based in Belton South Carolina.
560006,1,Pošte Srpske, Pošte Srpske is one of three companies responsible for postal service in Bosnia and Herzegovina. The other two are BH Pošta and Hrvatska Pošta Mostar.
560007,1,Open Kernel Labs, Open Kernel Labs (OK Labs) is a privately owned company that develops microkernel-based hypervisors and operating systems for embedded systems. The company was founded in 2006 by Steve Subar and Gernot Heiser as a spinout from NICTA. It is headquartered in Chicago while research and development is located in Sydney Australia. The company was acquired by General Dynamics in September 2012.
560008,1,Skye Bank, Skye Bank Plc. commonly known as Skye Bank is a commercial bank based in Nigeria. It is one of the twenty-six (26) commercial banks licensed by the Central Bank of Nigeria the country's banking regulator.
560009,1,CNet Technology, CNet Technology is a Taiwanese company that manufactures network equipment such as network cards switches and modems.
560010,1,188BET, 188BET is an online sportsbook provider. 188BET is owned by Cube Limited which is licensed and regulated by the Isle of Man.
560011,1,MEPC plc, MEPC plc is a leading British-based property investment and development business. It is headquartered in London. It used to be listed on the London Stock Exchange and was once a constituent of the FTSE 100 Index. It is however now owned by the British Telecom Pension Fund and the Royal Mail Pension Fund.
560012,1,Walter Aircraft Engines, Walter Aircraft Engines was a company that manufactured aircraft engines particularly the M601 turboprop. Based in Prague Czech Republic the company has been a subsidiary of GE Aviation since July 2008.
560013,1,Export-Import Bank of Romania, Exim Bank is The Export-Import Bank of Romania based in Bucharest.
560014,1,Shell Oil Company, Shell Oil Company is the United States-based subsidiary of Royal Dutch Shell a multinational oil company (oil major) of Anglo–Dutch origins which is amongst the largest oil companies in the world. Approximately 22000 Shell employees are based in the U.S. The U.S. head office is in Houston Texas.
560015,1,Anabolic Video, Anabolic Video is an American pornographic movie studio headquartered in Chatsworth California. The studio was a pioneer of gonzo pornography and is considered one of the most successful gonzo producers.
560016,1,Thon Hotels, Thon Hotels (formerly known as Rainbow Hotels) is owned by Olav Thon and was established in 1989. The Norwegian Olav Thon bought his first hotel in 1974 Hotel Bristol in Oslo.
560017,1,Cook Group, Cook Group Incorporated is an American privately held company based in Bloomington Indiana and primarily involved in manufacturing of medical devices. It was ranked #324 in Forbes' 2008 America's Largest Private Companies. It has three main divisions: Cook Medical Allied Manufacturing and Affiliates. All three divisions are made up of several subsidiary companies.The flagship company Cook Incorporated part of the Medical division was founded in 1963 in a spare bedroom in Bloomington.
